2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 13:58:17 [INFO]  -------------------
2025-12-12 13:58:26 [INFO]  -------------------
2025-12-12 13:58:26 [INFO]  Batch 8400
2025-12-12 13:58:26 [INFO]  -------------------
2025-12-12 13:58:36 [INFO]  -------------------
2025-12-12 13:58:36 [INFO]  Batch 8450
2025-12-12 13:58:36 [INFO]  -------------------
2025-12-12 13:58:46 [INFO]  -------------------
2025-12-12 13:58:46 [INFO]  Batch 8500
2025-12-12 13:58:46 [INFO]  -------------------
2025-12-12 13:58:55 [INFO]  -------------------
2025-12-12 13:58:55 [INFO]  Batch 8550
2025-12-12 13:58:55 [INFO]  -------------------
2025-12-12 13:59:05 [INFO]  -------------------
2025-12-12 13:59:05 [INFO]  Batch 8600
2025-12-12 13:59:05 [INFO]  -------------------
2025-12-12 13:59:14 [INFO]  -------------------
2025-12-12 13:59:14 [INFO]  Batch 8650
2025-12-12 13:59:14 [INFO]  -------------------
2025-12-12 13:59:24 [INFO]  -------------------
2025-12-12 13:59:24 [INFO]  Batch 8700
2025-12-12 13:59:24 [INFO]  -------------------
2025-12-12 13:59:33 [INFO]  -------------------
2025-12-12 13:59:33 [INFO]  Batch 8750
2025-12-12 13:59:33 [INFO]  -------------------
2025-12-12 13:59:43 [INFO]  -------------------
2025-12-12 13:59:43 [INFO]  Batch 8800
2025-12-12 13:59:43 [INFO]  -------------------
2025-12-12 13:59:53 [INFO]  -------------------
2025-12-12 13:59:53 [INFO]  Batch 8850
2025-12-12 13:59:53 [INFO]  -------------------
2025-12-12 14:00:02 [INFO]  -------------------
2025-12-12 14:00:02 [INFO]  Batch 8900
2025-12-12 14:00:02 [INFO]  -------------------
2025-12-12 14:00:12 [INFO]  -------------------
2025-12-12 14:00:12 [INFO]  Batch 8950
2025-12-12 14:00:12 [INFO]  -------------------
2025-12-12 14:00:21 [INFO]  -------------------
2025-12-12 14:00:21 [INFO]  Batch 9000
2025-12-12 14:00:21 [INFO]  -------------------
2025-12-12 14:00:31 [INFO]  -------------------
2025-12-12 14:00:31 [INFO]  Batch 9050
2025-12-12 14:00:31 [INFO]  -------------------
